"Statistic Label","Month","Airports in Ireland","Country","Direction","Flight Type","UNIT","VALUE"
"Passengers","2023 February","Dublin","Northern Ireland","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Scotland","Arrival","Scheduled","Thousand","42.5"
"Passengers","2023 February","Dublin","Scotland","Departure","Scheduled","Thousand","42.7"
"Passengers","2023 February","Dublin","Wales","Arrival","Scheduled","Thousand","4"
"Passengers","2023 February","Dublin","Wales","Departure","Scheduled","Thousand","4"
"Passengers","2023 February","Dublin","Other UK (1)","Arrival","Scheduled","Thousand","1"
"Passengers","2023 February","Dublin","Other UK (1)","Departure","Scheduled","Thousand","1.2"
"Passengers","2023 February","Dublin","Iceland","Arrival","Scheduled","Thousand","5.4"
"Passengers","2023 February","Dublin","Iceland","Departure","Scheduled","Thousand","5.5"
"Passengers","2023 February","Dublin","Norway","Arrival","Scheduled","Thousand","2.6"
"Passengers","2023 February","Dublin","Norway","Departure","Scheduled","Thousand","2.7"
"Passengers","2023 February","Dublin","Russia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Russia","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Serbia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Serbia","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Switzerland","Arrival","Scheduled","Thousand","16.5"
"Passengers","2023 February","Dublin","Switzerland","Departure","Scheduled","Thousand","16.7"
"Passengers","2023 February","Dublin","Turkiye","Arrival","Scheduled","Thousand","10.6"
"Passengers","2023 February","Dublin","Turkiye","Departure","Scheduled","Thousand","9.9"
"Passengers","2023 February","Dublin","Other Europe (3)","Arrival","Scheduled","Thousand","4.6"
"Passengers","2023 February","Dublin","Other Europe (3)","Departure","Scheduled","Thousand","3.2"
"Passengers","2023 February","Dublin","Europe (48 Countries)","Arrival","Scheduled","Thousand","894.5"
"Passengers","2023 February","Dublin","Europe (48 Countries)","Departure","Scheduled","Thousand","883.1"
"Passengers","2023 February","Dublin","America","Arrival","Scheduled","Thousand","72.4"
"Passengers","2023 February","Dublin","America","Departure","Scheduled","Thousand","74"
"Passengers","2023 February","Dublin","Canada","Arrival","Scheduled","Thousand","9"
"Passengers","2023 February","Dublin","Canada","Departure","Scheduled","Thousand","9.2"
"Passengers","2023 February","Dublin","United States","Arrival","Scheduled","Thousand","63.4"
"Passengers","2023 February","Dublin","United States","Departure","Scheduled","Thousand","64.8"
"Passengers","2023 February","Dublin","Other America (5)","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Other America (5)","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Africa (9)","Arrival","Scheduled","Thousand","4.3"
"Passengers","2023 February","Dublin","Africa (9)","Departure","Scheduled","Thousand","4.2"
"Passengers","2023 February","Dublin","Eygpt","Arrival","Scheduled","Thousand","1.5"
"Passengers","2023 February","Dublin","Eygpt","Departure","Scheduled","Thousand","1.5"
"Passengers","2023 February","Dublin","Morocco","Arrival","Scheduled","Thousand","2.7"
"Passengers","2023 February","Dublin","Morocco","Departure","Scheduled","Thousand","2.7"
"Passengers","2023 February","Dublin","Tunisia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Tunisia","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Other Africa (6)","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Other Africa (6)","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Asia (8)","Arrival","Scheduled","Thousand","35.2"
"Passengers","2023 February","Dublin","Asia (8)","Departure","Scheduled","Thousand","32.7"
"Passengers","2023 February","Dublin","Bahrain","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Bahrain","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Israel","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Israel","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","United Arab Emirates","Arrival","Scheduled","Thousand","24.4"
"Passengers","2023 February","Dublin","United Arab Emirates","Departure","Scheduled","Thousand","23.6"
"Passengers","2023 February","Dublin","Other Asian countries (4)","Arrival","Scheduled","Thousand","10.8"
"Passengers","2023 February","Dublin","Other Asian countries (4)","Departure","Scheduled","Thousand","9.1"
"Passengers","2023 February","Dublin","Oceania and Polar regions (1)","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Oceania and Polar regions (1)","Departure","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","All Countries","Arrival","Scheduled","Thousand","1219.3"
"Passengers","2023 March","Dublin","All Countries","Departure","Scheduled","Thousand","1225.6"
"Passengers","2023 March","Dublin","Ireland (domestic)","Arrival","Scheduled","Thousand","4.6"
"Passengers","2023 March","Dublin","Ireland (domestic)","Departure","Scheduled","Thousand","4.3"
"Passengers","2023 March","Dublin","Austria","Arrival","Scheduled","Thousand","10.4"
"Passengers","2023 March","Dublin","Austria","Departure","Scheduled","Thousand","10.1"
"Passengers","2023 March","Dublin","Belgium","Arrival","Scheduled","Thousand","20.3"
"Passengers","2023 March","Dublin","Belgium","Departure","Scheduled","Thousand","20.2"
"Passengers","2023 March","Dublin","Bulgaria","Arrival","Scheduled","Thousand","5"
"Passengers","2023 March","Dublin","Bulgaria","Departure","Scheduled","Thousand","4.8"
"Passengers","2023 March","Dublin","Croatia","Arrival","Scheduled","Thousand","3"
"Passengers","2023 March","Dublin","Croatia","Departure","Scheduled","Thousand","3.9"
"Passengers","2023 March","Dublin","Cyprus","Arrival","Scheduled","Thousand","0.9"
"Passengers","2023 March","Dublin","Cyprus","Departure","Scheduled","Thousand","1.1"
"Passengers","2023 March","Dublin","Czechia","Arrival","Scheduled","Thousand","8.4"
"Passengers","2023 March","Dublin","Czechia","Departure","Scheduled","Thousand","8.4"
"Passengers","2023 March","Dublin","Denmark","Arrival","Scheduled","Thousand","10.9"
"Passengers","2023 March","Dublin","Denmark","Departure","Scheduled","Thousand","11"
"Passengers","2023 March","Dublin","Estonia","Arrival","Scheduled","Thousand","1.2"
"Passengers","2023 March","Dublin","Estonia","Departure","Scheduled","Thousand","1.3"
"Passengers","2023 March","Dublin","Finland","Arrival","Scheduled","Thousand","4.6"
"Passengers","2023 March","Dublin","Finland","Departure","Scheduled","Thousand","4.5"
"Passengers","2023 March","Dublin","France","Arrival","Scheduled","Thousand","76.7"
"Passengers","2023 March","Dublin","France","Departure","Scheduled","Thousand","81.2"
"Passengers","2023 March","Dublin","Germany","Arrival","Scheduled","Thousand","76.4"
"Passengers","2023 March","Dublin","Germany","Departure","Scheduled","Thousand","74.2"
"Passengers","2023 March","Dublin","Greece","Arrival","Scheduled","Thousand","3"
"Passengers","2023 March","Dublin","Greece","Departure","Scheduled","Thousand","4.1"
"Passengers","2023 March","Dublin","Hungary","Arrival","Scheduled","Thousand","9.3"
"Passengers","2023 March","Dublin","Hungary","Departure","Scheduled","Thousand","9.5"
"Passengers","2023 March","Dublin","Italy","Arrival","Scheduled","Thousand","60.1"
"Passengers","2023 March","Dublin","Italy","Departure","Scheduled","Thousand","62.6"
"Passengers","2023 March","Dublin","Latvia","Arrival","Scheduled","Thousand","4"
"Passengers","2023 March","Dublin","Latvia","Departure","Scheduled","Thousand","4"
"Passengers","2023 March","Dublin","Lithuania","Arrival","Scheduled","Thousand","8.5"
"Passengers","2023 March","Dublin","Lithuania","Departure","Scheduled","Thousand","8.7"
"Passengers","2023 March","Dublin","Luxembourg","Arrival","Scheduled","Thousand","4.2"
"Passengers","2023 March","Dublin","Luxembourg","Departure","Scheduled","Thousand","4.1"
"Passengers","2023 March","Dublin","Malta","Arrival","Scheduled","Thousand","2.3"
"Passengers","2023 March","Dublin","Malta","Departure","Scheduled","Thousand","2.3"
"Passengers","2023 March","Dublin","Netherlands","Arrival","Scheduled","Thousand","50.9"
"Passengers","2023 March","Dublin","Netherlands","Departure","Scheduled","Thousand","52.1"
"Passengers","2023 March","Dublin","Poland","Arrival","Scheduled","Thousand","36.3"
"Passengers","2023 March","Dublin","Poland","Departure","Scheduled","Thousand","36.5"
"Passengers","2023 March","Dublin","Portugal","Arrival","Scheduled","Thousand","40.2"
"Passengers","2023 March","Dublin","Portugal","Departure","Scheduled","Thousand","44.1"
"Passengers","2023 March","Dublin","Romania","Arrival","Scheduled","Thousand","12.5"
"Passengers","2023 March","Dublin","Romania","Departure","Scheduled","Thousand","12.8"
"Passengers","2023 March","Dublin","Slovakia","Arrival","Scheduled","Thousand","4.2"
"Passengers","2023 March","Dublin","Slovakia","Departure","Scheduled","Thousand","4.1"
"Passengers","2023 March","Dublin","Slovenia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","Slovenia","Departure","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","Spain","Arrival","Scheduled","Thousand","95.2"
"Passengers","2023 March","Dublin","Spain","Departure","Scheduled","Thousand","104.6"
"Passengers","2023 March","Dublin","Canary Islands","Arrival","Scheduled","Thousand","39.4"
"Passengers","2023 March","Dublin","Canary Islands","Departure","Scheduled","Thousand","40.7"
"Passengers","2023 March","Dublin","Sweden","Arrival","Scheduled","Thousand","4.8"
"Passengers","2023 March","Dublin","Sweden","Departure","Scheduled","Thousand","4.9"
"Passengers","2023 March","Dublin","EU27 excl Ireland 2020","Arrival","Scheduled","Thousand","592.6"
"Passengers","2023 March","Dublin","EU27 excl Ireland 2020","Departure","Scheduled","Thousand","615.7"
"Passengers","2023 March","Dublin","United Kingdom (1)","Arrival","Scheduled","Thousand","394.4"
"Passengers","2023 March","Dublin","United Kingdom (1)","Departure","Scheduled","Thousand","384.9"
"Passengers","2023 March","Dublin","England","Arrival","Scheduled","Thousand","340.4"
"Passengers","2023 March","Dublin","England","Departure","Scheduled","Thousand","330.7"
"Passengers","2023 March","Dublin","Northern Ireland","Arrival","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","Northern Ireland","Departure","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","Scotland","Arrival","Scheduled","Thousand","49.8"
"Passengers","2023 March","Dublin","Scotland","Departure","Scheduled","Thousand","49.8"
"Passengers","2023 March","Dublin","Wales","Arrival","Scheduled","Thousand","2.8"
"Passengers","2023 March","Dublin","Wales","Departure","Scheduled","Thousand","2.9"
"Passengers","2023 March","Dublin","Other UK (1)","Arrival","Scheduled","Thousand","1.5"
"Passengers","2023 March","Dublin","Other UK (1)","Departure","Scheduled","Thousand","1.5"
"Passengers","2023 March","Dublin","Iceland","Arrival","Scheduled","Thousand","7.1"
"Passengers","2023 March","Dublin","Iceland","Departure","Scheduled","Thousand","6.9"
"Passengers","2023 March","Dublin","Norway","Arrival","Scheduled","Thousand","3.5"
"Passengers","2023 March","Dublin","Norway","Departure","Scheduled","Thousand","3.5"
"Passengers","2023 March","Dublin","Russia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","Russia","Departure","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","Serbia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","Serbia","Departure","Scheduled","Thousand","0"
"Passengers","2023 March","Dublin","Switzerland","Arrival","Scheduled","Thousand","19.3"
"Passengers","2023 March","Dublin","Switzerland","Departure","Scheduled","Thousand","18.4"
"Passengers","2023 March","Dublin","Turkiye","Arrival","Scheduled","Thousand","11.9"
"Passengers","2023 March","Dublin","Turkiye","Departure","Scheduled","Thousand","12.6"
"Passengers","2023 March","Dublin","Other Europe (3)","Arrival","Scheduled","Thousand","3.5"
"Passengers","2023 March","Dublin","Other Europe (3)","Departure","Scheduled","Thousand","3.7"
"Passengers","2023 March","Dublin","Europe (48 Countries)","Arrival","Scheduled","Thousand","1036.9"
"Passengers","2023 March","Dublin","Europe (48 Countries)","Departure","Scheduled","Thousand","1050"
"Passengers","2023 March","Dublin","America","Arrival","Scheduled","Thousand","136.2"
"Passengers","2023 March","Dublin","America","Departure","Scheduled","Thousand","135.3"
"Passengers","2023 March","Dublin","Canada","Arrival","Scheduled","Thousand","12.3"
"Passengers","2023 March","Dublin","Canada","Departure","Scheduled","Thousand","13.1"
"Passengers","2023 March","Dublin","United States","Arrival","Scheduled","Thousand","123.9"
